indx,MATCHUP,rival,date,day,month,year,season,H/A,W/L,W,L,totW,totL,wlRatio,seasonW,seasonL,seasonWratio,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,gameType
249,12/02/2021 - TOR vs. MIL,MIL,12/02/2021,2,12,2021,21-22,h,W,1,0,148,101,0.594,10,13,0.435,240,97,37,88,42,14,40,35,9,14,64.3,15,32,47,23,10,7,13,24,regular
250,12/05/2021 - TOR vs. WAS,WAS,12/05/2021,5,12,2021,21-22,h,W,1,0,149,101,0.596,11,13,0.458,240,102,38,85,44.7,8,23,34.8,18,24,75,10,37,47,22,3,1,8,24,regular
251,12/08/2021 - TOR vs. OKC,OKC,12/08/2021,8,12,2021,21-22,h,L,0,1,149,102,0.594,11,14,0.44,240,109,42,93,45.2,15,41,36.6,10,15,66.7,13,33,46,27,6,5,13,19,regular
252,12/10/2021 - TOR vs. NYK,NYK,12/10/2021,10,12,2021,21-22,h,W,1,0,150,102,0.595,12,14,0.462,240,90,30,87,34.5,12,35,34.3,18,23,78.3,12,36,48,21,9,7,8,19,regular
253,12/13/2021 - TOR vs. SAC,SAC,12/13/2021,13,12,2021,21-22,h,W,1,0,151,102,0.597,13,14,0.481,240,124,53,98,54.1,11,31,35.5,7,10,70,8,38,46,28,10,8,8,19,regular
254,12/14/2021 - TOR @ BKN,BKN,12/14/2021,14,12,2021,21-22,a,L,0,1,151,103,0.594,13,15,0.464,265,129,48,105,45.7,18,52,34.6,15,19,78.9,13,28,41,26,6,6,12,21,regular
255,12/18/2021 - TOR vs. GSW,GSW,12/18/2021,18,12,2021,21-22,h,W,1,0,152,103,0.596,14,15,0.483,240,119,45,90,50,14,38,36.8,15,23,65.2,12,29,41,26,13,3,10,21,regular
256,12/26/2021 - TOR @ CLE,CLE,12/26/2021,26,12,2021,21-22,a,L,0,1,152,104,0.594,14,16,0.467,240,99,37,89,41.6,9,36,25,16,23,69.6,11,32,43,24,11,3,21,13,regular
257,12/28/2021 - TOR vs. PHI,PHI,12/28/2021,28,12,2021,21-22,h,L,0,1,152,105,0.591,14,17,0.452,240,109,38,87,43.7,15,41,36.6,18,22,81.8,9,34,43,24,7,5,10,24,regular
258,12/31/2021 - TOR vs. LAC,LAC,12/31/2021,31,12,2021,21-22,h,W,1,0,153,105,0.593,15,17,0.469,240,116,40,96,41.7,11,35,31.4,25,33,75.8,18,36,54,19,8,4,7,18,regular
259,01/02/2022 - TOR vs. NYK,NYK,01/02/2022,2,1,2022,21-22,h,W,1,0,154,105,0.595,16,17,0.485,240,120,41,86,47.7,13,34,38.2,25,30,83.3,11,33,44,21,9,5,16,27,regular
260,01/04/2022 - TOR vs. SAS,SAS,01/04/2022,4,1,2022,21-22,h,W,1,0,155,105,0.596,17,17,0.5,240,129,45,96,46.9,18,44,40.9,21,29,72.4,16,36,52,30,13,8,12,20,regular
261,01/05/2022 - TOR @ MIL,MIL,01/05/2022,5,1,2022,21-22,a,W,1,0,156,105,0.598,18,17,0.514,240,117,42,89,47.2,16,36,44.4,17,25,68,10,34,44,24,8,4,14,20,regular
262,01/07/2022 - TOR vs. UTA,UTA,01/07/2022,7,1,2022,21-22,h,W,1,0,157,105,0.599,19,17,0.528,240,122,45,100,45,12,41,29.3,20,25,80,19,29,48,26,11,7,7,17,regular
263,01/09/2022 - TOR vs. NOP,NOP,01/09/2022,9,1,2022,21-22,h,W,1,0,158,105,0.601,20,17,0.541,240,105,36,85,42.4,14,34,41.2,19,20,95,15,31,46,18,8,3,12,20,regular
264,01/11/2022 - TOR vs. PHX,PHX,01/11/2022,11,1,2022,21-22,h,L,0,1,158,106,0.598,20,18,0.526,240,95,36,89,40.4,8,37,21.6,15,25,60,22,25,47,15,11,3,14,20,regular
265,01/14/2022 - TOR @ DET,DET,01/14/2022,14,1,2022,21-22,a,L,0,1,158,107,0.596,20,19,0.513,240,87,28,87,32.2,11,38,28.9,20,26,76.9,16,30,46,18,5,4,11,24,regular
